index,A,B,ground_truth,celeb_id
0,vggface2_n000207_0410_01.jpg,vggface2_n000223_0032_01.jpg,different,n000207_n000223
1,vggface2_n000096_0276_02.jpg,vggface2_n000355_0099_01.jpg,different,n000096_n000355
2,lfw_Mark_Philippoussis_Mark_Philippoussis_0010.jpg,lfw_Russell_Coutts_Russell_Coutts_0001.jpg,different,Mark_Philippoussis_Russell_Coutts
3,celeba_10006_201863.jpg,celeba_8063_027895.jpg,different,10006_8063
4,vggface2_n000324_0147_01.jpg,vggface2_n000409_0527_02.jpg,different,n000324_n000409
5,lfw_Dick_Vermeil_Dick_Vermeil_0001.jpg,lfw_Mukesh_Ambani_Mukesh_Ambani_0001.jpg,different,Dick_Vermeil_Mukesh_Ambani
6,lfw_Ibrahim_Jaafari_Ibrahim_Jaafari_0002.jpg,lfw_Nanni_Moretti_Nanni_Moretti_0002.jpg,different,Nanni_Moretti_Ibrahim_Jaafari
7,casia_007086_00373791.jpg,casia_009073_00444773.jpg,different,007086_009073
8,celeba_3028_166456.jpg,celeba_5564_112297.jpg,different,3028_5564
9,celeba_1525_062771.jpg,celeba_959_118176.jpg,different,1525_959
10,casia_002303_00153710.jpg,casia_003652_00217986.jpg,different,003652_002303
11,vggface2_n000085_0175_01.jpg,vggface2_n000502_0362_01.jpg,different,n000085_n000502
12,lfw_Halle_Berry_Halle_Berry_0013.jpg,lfw_Jean-Pierre_Raffarin_Jean-Pierre_Raffarin_0006.jpg,different,Jean-Pierre_Raffarin_Halle_Berry
13,casia_001995_00138874.jpg,casia_007645_00394148.jpg,different,007645_001995
14,celeba_1635_177112.jpg,celeba_5612_132476.jpg,different,5612_1635
15,celeba_2163_179468.jpg,celeba_4014_068877.jpg,different,4014_2163
16,casia_003604_00215857.jpg,casia_006939_00367672.jpg,different,006939_003604
17,celeba_10063_032968.jpg,celeba_9183_029185.jpg,different,9183_10063
18,casia_001266_00104287.jpg,casia_002203_00149804.jpg,different,001266_002203
19,vggface2_n000086_0183_04.jpg,vggface2_n000086_0113_01.jpg,same,n000086
20,lfw_Chen_Shui-bian_Chen_Shui-bian_0001.jpg,lfw_Peter_Greenaway_Peter_Greenaway_0002.jpg,different,Chen_Shui-bian_Peter_Greenaway
21,celeba_5926_010966.jpg,celeba_7910_188764.jpg,different,5926_7910
22,vggface2_n000205_0507_01.jpg,vggface2_n000489_0282_01.jpg,different,n000205_n000489
23,casia_000332_00036397.jpg,casia_001822_00130971.jpg,different,001822_000332
24,vggface2_n000081_0421_02.jpg,vggface2_n000212_0187_01.jpg,different,n000081_n000212
25,lfw_Jeremy_Greenstock_Jeremy_Greenstock_0022.jpg,lfw_Julianne_Moore_Julianne_Moore_0010.jpg,different,Julianne_Moore_Jeremy_Greenstock
26,lfw_Lleyton_Hewitt_Lleyton_Hewitt_0018.jpg,lfw_Ray_Allen_Ray_Allen_0001.jpg,different,Ray_Allen_Lleyton_Hewitt
27,celeba_4017_168161.jpg,celeba_485_019092.jpg,different,485_4017
28,casia_005468_00301818.jpg,casia_008383_00420174.jpg,different,005468_008383
29,celeba_1073_162142.jpg,celeba_5678_024313.jpg,different,5678_1073
30,casia_003870_00227943.jpg,casia_005518_00304397.jpg,different,005518_003870
31,celeba_1047_128504.jpg,celeba_8329_033368.jpg,different,1047_8329
32,celeba_8926_050225.jpg,celeba_90_071549.jpg,different,90_8926
